table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,history_scans,component
ivmh,No Repair,30,30,RecentScan,15.509833,,30.0,,,,1,1,RecentScan
ivmh,No Repair,31,31,RecentScan,14.695792,,31.0,,,,1,1,RecentScan
ivmh,No Repair,32,32,RecentScan,17.246875,,32.0,,,,1,1,RecentScan
ivmh,No Repair,33,33,RecentScan,14.340916,,33.0,,,,1,1,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,1,
ivmh,No Repair,35,35,Update,0.009875,6.0,,,,,1,1,Update
ivmh,No Repair,0,0,InitLoad,14.927,60000.0,,,,,0,2,BuildCUR
ivmh,No Repair,1,1,RecentScan,17.551792,,1.0,,,,0,2,RecentScan
ivmh,No Repair,2,2,RecentScan,17.288666,,2.0,,,,0,2,RecentScan
ivmh,No Repair,3,3,RecentScan,17.024917,,3.0,,,,0,2,RecentScan
ivmh,No Repair,4,4,RecentScan,16.344333,,4.0,,,,0,2,RecentScan
ivmh,No Repair,5,5,RecentScan,17.298666,,5.0,,,,0,2,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0012079999999999999,,6.0,,,,0,2,
ivmh,No Repair,7,7,Update,0.026833,6.0,,,,,0,2,Update
ivmh,No Repair,8,8,MarkTs,57.549583,,6.0,,,HistoryScan,0,2,BuildSnap
ivmh,No Repair,8,8,HistoryScan,17.961417,,6.0,,,,0,2,HistoryScan
ivmh,No Repair,9,9,RecentScan,17.636625,,9.0,,,,0,2,RecentScan
ivmh,No Repair,10,10,RecentScan,18.676292,,10.0,,,,0,2,RecentScan
ivmh,No Repair,11,11,RecentScan,17.530166,,11.0,,,,0,2,RecentScan
ivmh,No Repair,12,12,RecentScan,17.5195,,12.0,,,,0,2,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,2,
ivmh,No Repair,14,14,Update,0.019375,6.0,,,,,0,2,Update
ivmh,No Repair,15,15,MarkTs,55.319834,,13.0,,,HistoryScan,0,2,BuildSnap
ivmh,No Repair,15,15,HistoryScan,18.619959,,13.0,,,,0,2,HistoryScan
ivmh,No Repair,16,16,RecentScan,15.984416,,16.0,,,,0,2,RecentScan
ivmh,No Repair,17,17,RecentScan,15.143167,,17.0,,,,0,2,RecentScan
ivmh,No Repair,18,18,RecentScan,14.688375,,18.0,,,,0,2,RecentScan
ivmh,No Repair,19,19,RecentScan,16.02275,,19.0,,,,0,2,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,2,
ivmh,No Repair,21,21,Update,0.014166,6.0,,,,,0,2,Update
ivmh,No Repair,22,22,RecentScan,16.257167,,22.0,,,,0,2,RecentScan
ivmh,No Repair,23,23,RecentScan,16.074833,,23.0,,,,0,2,RecentScan
ivmh,No Repair,24,24,RecentScan,17.007292,,24.0,,,,0,2,RecentScan
