table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,IVMH,2,
ivmh,No Repair,35,35,Update,0.014625,6.0,,,,,0,IVMH,2,Update
ivmh,No Repair,0,0,InitLoad,14.976792,60000.0,,,,,1,IVMH,2,InitLoad
ivmh,No Repair,1,1,RecentScan,20.42575,,1.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,2,2,RecentScan,20.351084,,2.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,3,3,RecentScan,17.484166,,3.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,4,4,RecentScan,17.594083,,4.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,5,5,RecentScan,18.955459,,5.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001,,6.0,,,,1,IVMH,2,
ivmh,No Repair,7,7,Update,0.020082999999999997,6.0,,,,,1,IVMH,2,Update
ivmh,No Repair,8,8,MarkTs,49.536083,,6.0,,,HistoryScan,1,IVMH,2,BuildSnap
ivmh,No Repair,8,8,HistoryScan,17.11725,,6.0,,,,1,IVMH,2,HistoryScan
ivmh,No Repair,9,9,RecentScan,17.142875,,9.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,10,10,RecentScan,16.635917,,10.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,11,11,RecentScan,17.197792,,11.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,12,12,RecentScan,16.190458,,12.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,IVMH,2,
ivmh,No Repair,14,14,Update,0.014833,6.0,,,,,1,IVMH,2,Update
ivmh,No Repair,15,15,MarkTs,51.225583,,13.0,,,HistoryScan,1,IVMH,2,BuildSnap
ivmh,No Repair,15,15,HistoryScan,17.582584,,13.0,,,,1,IVMH,2,HistoryScan
ivmh,No Repair,16,16,RecentScan,17.170625,,16.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,17,17,RecentScan,15.908041,,17.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,18,18,RecentScan,16.905584,,18.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,19,19,RecentScan,16.52525,,19.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,IVMH,2,
ivmh,No Repair,21,21,Update,0.021584,6.0,,,,,1,IVMH,2,Update
ivmh,No Repair,22,22,RecentScan,15.818667,,22.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,23,23,RecentScan,15.778292,,23.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,24,24,RecentScan,14.562333,,24.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,25,25,RecentScan,15.139834,,25.0,,,,1,IVMH,2,RecentScan
