trial,idx,tx_id,tx_type_raw,tx_type,read_ts,from_ts,to_ts,build_reason,is_untimed_prime,is_actual_build,duration_ms
0,78,78,RecentScan,RecentScan,78.0,,,,False,False,15.849666
0,79,79,RecentScan,RecentScan,79.0,,,,False,False,14.744125
0,80,80,Probe,Probe,80.0,,,,False,False,14.880375
0,81,81,Update,Update,,,,,False,False,0.006375
0,82,82,MarkTs,BuildSnap,82.0,,,,False,False,0.0
0,83,83,Update,Update,,,,,False,False,0.003375
0,84,84,RecentScan,RecentScan,84.0,,,,False,False,14.588041
0,85,85,RecentScan,RecentScan,85.0,,,,False,False,16.504458
0,86,86,Probe,Probe,86.0,,,,False,False,13.444584
0,87,87,RecentScan,RecentScan,87.0,,,,False,False,13.847542
0,88,88,Probe,Probe,88.0,,,,False,False,14.682334
0,89,89,Probe,Probe,89.0,,,,False,False,15.054542
0,90,90,RecentScan,RecentScan,90.0,,,,False,False,14.959209
0,91,91,Update,Update,,,,,False,False,0.013708999999999999
0,92,92,MarkTs,BuildSnap,92.0,,,,False,False,0.0
0,93,93,Probe,Probe,93.0,,,,False,False,14.259958
0,94,94,RecentScan,RecentScan,94.0,,,,False,False,14.356
0,95,95,Update,Update,,,,,False,False,0.011583999999999999
0,96,96,RecentScan,RecentScan,96.0,,,,False,False,14.288625
0,97,97,Probe,Probe,97.0,,,,False,False,15.362167
0,98,98,Probe,Probe,98.0,,,,False,False,13.398791
0,99,99,RecentScan,RecentScan,99.0,,,,False,False,13.802125
0,100,100,Probe,Probe,100.0,,,,False,False,14.69875
0,101,101,RecentScan,RecentScan,101.0,,,,False,False,14.511333
0,102,102,Probe,Probe,102.0,,,,False,False,15.054125
0,103,103,RecentScan,RecentScan,103.0,,,,False,False,14.470709
0,104,104,Update,Update,,,,,False,False,0.010375
0,105,105,MarkTs,BuildSnap,105.0,,,,False,False,0.0
0,106,106,Probe,Probe,106.0,,,,False,False,15.566209
0,107,107,Update,Update,,,,,False,False,0.007
0,108,108,Probe,Probe,108.0,,,,False,False,13.225833
0,109,109,Update,Update,,,,,False,False,0.007167
0,110,110,MarkTs,BuildSnap,110.0,,,,False,False,0.0
0,111,111,Probe,Probe,111.0,,,,False,False,14.769208
0,112,112,RecentScan,RecentScan,112.0,,,,False,False,14.811459
0,113,113,Probe,Probe,113.0,,,,False,False,15.537
0,114,114,RecentScan,RecentScan,114.0,,,,False,False,15.239584
0,115,115,RecentScan,RecentScan,115.0,,,,False,False,14.569959
0,116,116,Probe,Probe,116.0,,,,False,False,15.00525
0,117,117,RecentScan,RecentScan,117.0,,,,False,False,14.477791
